codigo,nombre_cuenta,imputable,is_group,nivel,codigo_padre,root_type
2.1.04.02.01.02.14,Depósitos en la CUT- Museo de Historia Natural,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.15,Depósitos en la CUT- Acuario Nacional 2.1.04.02.01.02.16 Depósitos en la CUT- Oficina Nacional de Propiedad Industrial                                   S 2.1.04.02.01.02.17 Depósitos en la CUT- Instituto Dominicano del Café                                                     S,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.18,Depósitos en la CUT- Instituto Duartiano,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.19,Depósitos en la CUT- Comisión Nacional de Energía,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.20,Depósitos en la CUT- Superintendencia de Electricidad,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.21,Depósitos en la CUT- Instituto del Tabaco de la República Dominicana,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.22,Depósitos en la CUT- Fondo Patrimonial de Empresas Reformadas,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.23,Depósitos en la CUT- Instituto de Desarrollo y Crédito Cooperativo,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.24,Depósitos en la CUT- Fondo Especial para el Desarrollo Agropecuario,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.25,Depósitos en la CUT- Instituto Nacional de la Uva,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.26,Depósitos en la CUT- Consejo Nacional de Zonas Francas,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.27,Depósitos en la CUT- Consejo Nacional para la Niñez y la Adolescencia,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.28,Depósitos en la CUT- Instituto de Innovación en Biotecnología e Industria,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.29,Depósitos en la CUT- Instituto Nacional de Formación Técnico Profesional (INFOTEP),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.30,Depósitos en la CUT- Dirección General de Aduanas,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.31,Depósitos en la CUT- Dirección General de Impuestos Internos,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.32,Depósitos en la CUT- Instituto de Protección de los Derechos al Consumidor (PROCONSUMIDOR),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.33,Depósitos en la CUT- Instituto Dominicano de Aviación Civil (IDAC),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.34,Depósitos en la CUT- Comisión Reguladora de Prácticas Desleales en el Comercio,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.35,Depósitos en la CUT- Comisión Nacional de Defensa de la Competencia,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.36,Depósitos en la CUT- Oficina Nacional de Defensa Pública,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.37,Depósitos en la CUT- Archivo General de la Nación,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.38,Depósitos en la CUT- Dirección General de Cine (DGCINE),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.39,Depósitos en la CUT- Superintendencia de Seguros,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.40,Depósitos en la CUT- Mercados Dominicanos De Abasto Agropecuario,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.41,Depósitos en la CUT- Instituto Dominicano para la Calidad (INDOCAL),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.42,Depósitos en la CUT- Consejo Nacional de Competitividad,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.43,Depósitos en la CUT- Consejo Nacional de Discapacidad (CONADIS),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.44,Depósitos en la CUT- Consejo Nacional de Investigaciones Agropecuarias y Forestales (CONIAF),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.45,Depósitos en la CUT- Fondo Nacional para el Medio Ambiente y Recursos Naturales,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.46,Depósitos en la CUT- Servicio Geológico Nacional,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.47,Depósitos en la CUT- Consejo Nacional para las Comunidades Dominicanas en el Exterior (CONDEX),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.48,Depósitos en la CUT- Dirección Central del Servicio Nacional de Salud,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.49,Depósitos en la CUT- Organismo Dominicano de Acreditación,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.50,Depósitos en la CUT- Instituto Geográfico Nacional José Joaquín Hungría Morell,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.51,Depósitos en la CUT- Consejo Nacional de Estancias Infantiles,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.52,Depósitos en la CUT- Instituto Nacional de Tránsito y Transporte Terrestre,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.53,Depósitos en la CUT- Unidad de Análisis Financiero (UAF),S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.54,Depósitos en la CUT- Dirección General de Alianzas Público-Privadas,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.55,Depósitos en la CUT- Instituto para el Desarrollo del Noroeste -INDENOR,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.56,Depósitos en la CUT- Instituto Nacional de Recursos Hidráulicos -INDHRI,S,0,7,2.1.04.02.01.02,Liability
2.1.04.02.01.02.57,Depósitos en la CUT- Instituto para el Desarrollo del Suroeste -INDESUR,S,0,7,2.1.04.02.01.02,Liability
